A | סופרמרקט | department | depth 0 | path A | pathHe סופרמרקט | url https://www.shufersal.co.il/online/he/A
A1603 | מוצרי בשר, עוף ודגים קפואים | depth5 | parent A2402 החברים באים להמבורגרים | depth 5 | path A>A24>A16>A07>A2402>A1603 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > החברים באים להמבורגרים > מוצרי בשר, עוף ודגים קפואים | url https://www.shufersal.co.il/online/he/c/A1603
A0711 | מוצרי בשר "על האש" | depth6 | parent A1603 מוצרי בשר, עוף ודגים קפואים | depth 6 | path A>A24>A16>A07>A2402>A1603>A0711 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > החברים באים להמבורגרים > מוצרי בשר, עוף ודגים קפואים > מוצרי בשר "על האש" | url https://www.shufersal.co.il/online/he/c/A0711
A160306 | על האש | depth7 | parent A0711 מוצרי בשר "על האש" | depth 7 | path A>A24>A16>A07>A2402>A1603>A0711>A160306 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > החברים באים להמבורגרים > מוצרי בשר, עוף ודגים קפואים > מוצרי בשר "על האש" > על האש | url https://www.shufersal.co.il/online/he/c/A160306
A071107 | המבורגר, קבב וקציצות | leaf | parent A160306 על האש | depth 8 | path A>A24>A16>A07>A2402>A1603>A0711>A160306>A071107 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > החברים באים להמבורגרים > מוצרי בשר, עוף ודגים קפואים > מוצרי בשר "על האש" > על האש > המבורגר, קבב וקציצות | url https://www.shufersal.co.il/online/he/c/A071107
A2419 | אין על נקניקיה בלחמניה | depth4 | parent A07 מוצרי בשר, עוף ודגים | depth 4 | path A>A24>A16>A07>A2419 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין על נקניקיה בלחמניה | url https://www.shufersal.co.il/online/he/c/A2419
A2412 | אין לי זמן לבשל | depth5 | parent A2419 אין על נקניקיה בלחמניה | depth 5 | path A>A24>A16>A07>A2419>A2412 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין על נקניקיה בלחמניה > אין לי זמן לבשל | url https://www.shufersal.co.il/online/he/c/A2412
A1611 | תחליפי בשר טבעוניים | depth6 | parent A2412 אין לי זמן לבשל | depth 6 | path A>A24>A16>A07>A2419>A2412>A1611 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין על נקניקיה בלחמניה > אין לי זמן לבשל > תחליפי בשר טבעוניים | url https://www.shufersal.co.il/online/he/c/A1611
A0707 | תחליפי בשר | depth7 | parent A1611 תחליפי בשר טבעוניים | depth 7 | path A>A24>A16>A07>A2419>A2412>A1611>A0707 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין על נקניקיה בלחמניה > אין לי זמן לבשל > תחליפי בשר טבעוניים > תחליפי בשר | url https://www.shufersal.co.il/online/he/c/A0707
A161104 | נקניקיות מן הצומח | depth8 | parent A0707 תחליפי בשר | depth 8 | path A>A24>A16>A07>A2419>A2412>A1611>A0707>A161104 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין על נקניקיה בלחמניה > אין לי זמן לבשל > תחליפי בשר טבעוניים > תחליפי בשר > נקניקיות מן הצומח | url https://www.shufersal.co.il/online/he/c/A161104
A070702 | נקניקיות מן הצומח | leaf | parent A161104 נקניקיות מן הצומח | depth 9 | path A>A24>A16>A07>A2419>A2412>A1611>A0707>A161104>A070702 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין על נקניקיה בלחמניה > אין לי זמן לבשל > תחליפי בשר טבעוניים > תחליפי בשר > נקניקיות מן הצומח > נקניקיות מן הצומח | url https://www.shufersal.co.il/online/he/c/A070702
A2414 | חוגגים על האש | depth5 | parent A2419 אין על נקניקיה בלחמניה | depth 5 | path A>A24>A16>A07>A2419>A2414 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין על נקניקיה בלחמניה > חוגגים על האש | url https://www.shufersal.co.il/online/he/c/A2414
A1603 | מוצרי בשר, עוף ודגים קפואים | depth6 | parent A2414 חוגגים על האש | depth 6 | path A>A24>A16>A07>A2419>A2414>A1603 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין על נקניקיה בלחמניה > חוגגים על האש > מוצרי בשר, עוף ודגים קפואים | url https://www.shufersal.co.il/online/he/c/A1603
A0711 | מוצרי בשר "על האש" | depth7 | parent A1603 מוצרי בשר, עוף ודגים קפואים | depth 7 | path A>A24>A16>A07>A2419>A2414>A1603>A0711 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין על נקניקיה בלחמניה > חוגגים על האש > מוצרי בשר, עוף ודגים קפואים > מוצרי בשר "על האש" | url https://www.shufersal.co.il/online/he/c/A0711
A160306 | על האש | depth8 | parent A0711 מוצרי בשר "על האש" | depth 8 | path A>A24>A16>A07>A2419>A2414>A1603>A0711>A160306 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין על נקניקיה בלחמניה > חוגגים על האש > מוצרי בשר, עוף ודגים קפואים > מוצרי בשר "על האש" > על האש | url https://www.shufersal.co.il/online/he/c/A160306
A071107 | המבורגר, קבב וקציצות | depth9 | parent A160306 על האש | depth 9 | path A>A24>A16>A07>A2419>A2414>A1603>A0711>A160306>A071107 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין על נקניקיה בלחמניה > חוגגים על האש > מוצרי בשר, עוף ודגים קפואים > מוצרי בשר "על האש" > על האש > המבורגר, קבב וקציצות | url https://www.shufersal.co.il/online/he/c/A071107
A071101 | נקניקיות | leaf | parent A071107 המבורגר, קבב וקציצות | depth 10 | path A>A24>A16>A07>A2419>A2414>A1603>A0711>A160306>A071107>A071101 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין על נקניקיה בלחמניה > חוגגים על האש > מוצרי בשר, עוף ודגים קפואים > מוצרי בשר "על האש" > על האש > המבורגר, קבב וקציצות > נקניקיות | url https://www.shufersal.co.il/online/he/c/A071101
A2420 | חריף אש | depth4 | parent A07 מוצרי בשר, עוף ודגים | depth 4 | path A>A24>A16>A07>A2420 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש | url https://www.shufersal.co.il/online/he/c/A2420
A1611 | תחליפי בשר טבעוניים | depth5 | parent A2420 חריף אש | depth 5 | path A>A24>A16>A07>A2420>A1611 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > תחליפי בשר טבעוניים | url https://www.shufersal.co.il/online/he/c/A1611
A0707 | תחליפי בשר | depth6 | parent A1611 תחליפי בשר טבעוניים | depth 6 | path A>A24>A16>A07>A2420>A1611>A0707 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > תחליפי בשר טבעוניים > תחליפי בשר | url https://www.shufersal.co.il/online/he/c/A0707
A161110 | שניצל טבעוני, צמחוני | depth7 | parent A0707 תחליפי בשר | depth 7 | path A>A24>A16>A07>A2420>A1611>A0707>A161110 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > תחליפי בשר טבעוניים > תחליפי בשר > שניצל טבעוני, צמחוני | url https://www.shufersal.co.il/online/he/c/A161110
A070705 | שניצל מן הצומח | leaf | parent A161110 שניצל טבעוני, צמחוני | depth 8 | path A>A24>A16>A07>A2420>A1611>A0707>A161110>A070705 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > תחליפי בשר טבעוניים > תחליפי בשר > שניצל טבעוני, צמחוני > שניצל מן הצומח | url https://www.shufersal.co.il/online/he/c/A070705
A1603 | מוצרי בשר, עוף ודגים קפואים | depth5 | parent A2420 חריף אש | depth 5 | path A>A24>A16>A07>A2420>A1603 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > מוצרי בשר, עוף ודגים קפואים | url https://www.shufersal.co.il/online/he/c/A1603
A0711 | מוצרי בשר "על האש" | depth6 | parent A1603 מוצרי בשר, עוף ודגים קפואים | depth 6 | path A>A24>A16>A07>A2420>A1603>A0711 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > מוצרי בשר, עוף ודגים קפואים > מוצרי בשר "על האש" | url https://www.shufersal.co.il/online/he/c/A0711
A160306 | על האש | depth7 | parent A0711 מוצרי בשר "על האש" | depth 7 | path A>A24>A16>A07>A2420>A1603>A0711>A160306 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > מוצרי בשר, עוף ודגים קפואים > מוצרי בשר "על האש" > על האש | url https://www.shufersal.co.il/online/he/c/A160306
A071107 | המבורגר, קבב וקציצות | depth8 | parent A160306 על האש | depth 8 | path A>A24>A16>A07>A2420>A1603>A0711>A160306>A071107 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > מוצרי בשר, עוף ודגים קפואים > מוצרי בשר "על האש" > על האש > המבורגר, קבב וקציצות | url https://www.shufersal.co.il/online/he/c/A071107
A071101 | נקניקיות | leaf | parent A071107 המבורגר, קבב וקציצות | depth 9 | path A>A24>A16>A07>A2420>A1603>A0711>A160306>A071107>A071101 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > מוצרי בשר, עוף ודגים קפואים > מוצרי בשר "על האש" > על האש > המבורגר, קבב וקציצות > נקניקיות | url https://www.shufersal.co.il/online/he/c/A071101
A2409 | Finger Food | depth5 | parent A2420 חריף אש | depth 5 | path A>A24>A16>A07>A2420>A2409 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > Finger Food | url https://www.shufersal.co.il/online/he/c/A2409
A1603 | מוצרי בשר, עוף ודגים קפואים | depth6 | parent A2409 Finger Food | depth 6 | path A>A24>A16>A07>A2420>A2409>A1603 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > Finger Food > מוצרי בשר, עוף ודגים קפואים | url https://www.shufersal.co.il/online/he/c/A1603
A0717 | מוצרים מוכנים לאכילה | depth7 | parent A1603 מוצרי בשר, עוף ודגים קפואים | depth 7 | path A>A24>A16>A07>A2420>A2409>A1603>A0717 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > Finger Food > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה | url https://www.shufersal.co.il/online/he/c/A0717
A160309 | שניצלונים מוכנים | depth8 | parent A0717 מוצרים מוכנים לאכילה | depth 8 | path A>A24>A16>A07>A2420>A2409>A1603>A0717>A160309 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > Finger Food > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה > שניצלונים מוכנים | url https://www.shufersal.co.il/online/he/c/A160309
A071704 | שניצלונים | leaf | parent A160309 שניצלונים מוכנים | depth 9 | path A>A24>A16>A07>A2420>A2409>A1603>A0717>A160309>A071704 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > חריף אש > Finger Food > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה > שניצלונים מוכנים > שניצלונים | url https://www.shufersal.co.il/online/he/c/A071704
A2415 | ערב גבינות ויין טוב | depth3 | parent A16 מזון מקורר קפואים ונקניקים | depth 3 | path A>A24>A16>A2415 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > ערב גבינות ויין טוב | url https://www.shufersal.co.il/online/he/c/A2415
A1624 | סלטים ארוזים | depth4 | parent A2415 ערב גבינות ויין טוב | depth 4 | path A>A24>A16>A2415>A1624 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > ערב גבינות ויין טוב > סלטים ארוזים | url https://www.shufersal.co.il/online/he/c/A1624
A162407 | סלטים מוכנים ארוזים | depth5 | parent A1624 סלטים ארוזים | depth 5 | path A>A24>A16>A2415>A1624>A162407 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > ערב גבינות ויין טוב > סלטים ארוזים > סלטים מוכנים ארוזים | url https://www.shufersal.co.il/online/he/c/A162407
A162405 | סלטים חריפים | depth6 | parent A162407 סלטים מוכנים ארוזים | depth 6 | path A>A24>A16>A2415>A1624>A162407>A162405 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > ערב גבינות ויין טוב > סלטים ארוזים > סלטים מוכנים ארוזים > סלטים חריפים | url https://www.shufersal.co.il/online/he/c/A162405
A162403 | סלט חצילים | leaf | parent A162405 סלטים חריפים | depth 7 | path A>A24>A16>A2415>A1624>A162407>A162405>A162403 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > ערב גבינות ויין טוב > סלטים ארוזים > סלטים מוכנים ארוזים > סלטים חריפים > סלט חצילים | url https://www.shufersal.co.il/online/he/c/A162403
A2409 | Finger Food | depth3 | parent A16 מזון מקורר קפואים ונקניקים | depth 3 | path A>A24>A16>A2409 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > Finger Food | url https://www.shufersal.co.il/online/he/c/A2409
